# node_id   x   y   h
0 -2.64617490e+01 -1.23721500e+00 8.51000000e+00
1 -2.51540567e+01 -1.23721500e+00 7.85615385e+00
2 -2.38463644e+01 -1.23721500e+00 7.20230769e+00
3 -2.25386721e+01 -1.23721500e+00 6.54846154e+00
4 -2.12309798e+01 -1.23721500e+00 5.89461538e+00
5 -1.99232875e+01 -1.23721500e+00 5.24076923e+00
6 -1.86155952e+01 -1.23721500e+00 4.58692308e+00
7 -1.73079028e+01 -1.23721500e+00 3.93307692e+00
8 -1.60002105e+01 -1.23721500e+00 3.27923077e+00
9 -1.46925182e+01 -1.23721500e+00 2.62538462e+00
10 -1.33848259e+01 -1.23721500e+00 1.97153846e+00
11 -1.20771336e+01 -1.23721500e+00 1.31769231e+00
12 -1.07694413e+01 -1.23721500e+00 6.63846154e-01
13 -9.46174900e+00 -1.23721500e+00 1.00000000e-02
14 -9.35176100e+00 -1.76602600e+00 1.11698368e-02
15 -9.03603700e+00 -2.15531200e+00 1.45278901e-02
16 -8.58627500e+00 -2.36550200e+00 1.93115770e-02
17 -8.06587400e+00 -2.35423100e+00 2.48465831e-02
18 -7.52127600e+00 -2.08943600e+00 3.06389495e-02
19 -6.81096900e+00 -1.64120500e+00 3.81938035e-02
20 -5.78889700e+00 -1.10953700e+00 4.90646028e-02
21 -4.50212400e+00 -6.04228000e-01 5.00000000e-02
22 -3.03373300e+00 -3.02990000e-01 5.00000000e-02
23 -1.52372000e+00 -2.98589000e-01 5.00000000e-02
24 -6.14040000e-02 -6.03107000e-01 5.00000000e-02
25 1.23034600e+00 -1.18429600e+00 5.00000000e-02
26 2.38129800e+00 -2.08849900e+00 5.00000000e-02
27 3.62087600e+00 -3.55395800e+00 5.00000000e-02
28 5.42225700e+00 -6.35036500e+00 5.00000000e-02
29 7.55970600e+00 -1.00348790e+01 2.89591145e-02
30 9.34224100e+00 -1.32869900e+01 1.00000000e-02
31 1.06499333e+01 -1.32869900e+01 6.63846154e-01
32 1.19576256e+01 -1.32869900e+01 1.31769231e+00
33 1.32653179e+01 -1.32869900e+01 1.97153846e+00
34 1.45730102e+01 -1.32869900e+01 2.62538462e+00
35 1.58807025e+01 -1.32869900e+01 3.27923077e+00
36 1.71883948e+01 -1.32869900e+01 3.93307692e+00
37 1.84960872e+01 -1.32869900e+01 4.58692308e+00
38 1.98037795e+01 -1.32869900e+01 5.24076923e+00
39 2.11114718e+01 -1.32869900e+01 5.89461538e+00
40 2.24191641e+01 -1.32869900e+01 6.54846154e+00
41 2.37268564e+01 -1.32869900e+01 7.20230769e+00
42 2.50345487e+01 -1.32869900e+01 7.85615385e+00
43 2.63422410e+01 -1.32869900e+01 8.51000000e+00
44 2.63422410e+01 -1.45727043e+01 8.53427506e+00
45 2.63422410e+01 -1.58584186e+01 8.60668897e+00
46 2.63422410e+01 -1.71441329e+01 8.72604198e+00
47 2.63422410e+01 -1.84298471e+01 8.89044171e+00
48 2.63422410e+01 -1.97155614e+01 9.09744368e+00
49 2.63422410e+01 -2.10012757e+01 9.34421400e+00
50 2.63422410e+01 -2.22869900e+01 9.36283579e+00
51 2.63422410e+01 -2.35727043e+01 9.19313910e+00
52 2.63422410e+01 -2.48584186e+01 9.03673220e+00
53 2.63422410e+01 -2.61441329e+01 8.88032530e+00
54 2.63422410e+01 -2.74298471e+01 8.72604198e+00
55 2.63422410e+01 -2.87155614e+01 8.60668897e+00
56 2.63422410e+01 -3.00012757e+01 8.53427506e+00
57 2.63422410e+01 -3.12869900e+01 8.51000000e+00
58 2.50345487e+01 -3.12869900e+01 7.85615385e+00
59 2.37268564e+01 -3.12869900e+01 7.20230769e+00
60 2.24191641e+01 -3.12869900e+01 6.54846154e+00
61 2.11114718e+01 -3.12869900e+01 5.89461538e+00
62 1.98037795e+01 -3.12869900e+01 5.24076923e+00
63 1.84960872e+01 -3.12869900e+01 4.58692308e+00
64 1.71883948e+01 -3.12869900e+01 3.93307692e+00
65 1.58807025e+01 -3.12869900e+01 3.27923077e+00
66 1.45730102e+01 -3.12869900e+01 2.62538462e+00
67 1.32653179e+01 -3.12869900e+01 1.97153846e+00
68 1.19576256e+01 -3.12869900e+01 1.31769231e+00
69 1.06499333e+01 -3.12869900e+01 6.63846154e-01
70 9.34224100e+00 -3.12869900e+01 1.00000000e-02
71 8.48682300e+00 -2.78018980e+01 1.90982605e-02
72 7.34604100e+00 -2.39198870e+01 3.12316641e-02
73 6.08400200e+00 -2.02702930e+01 4.46547621e-02
74 4.78550800e+00 -1.72399260e+01 5.00000000e-02
75 3.51515600e+00 -1.49810940e+01 5.00000000e-02
76 2.29856300e+00 -1.34232080e+01 5.00000000e-02
77 1.13060500e+00 -1.24072670e+01 5.00000000e-02
78 -2.26270000e-02 -1.17921230e+01 5.00000000e-02
79 -1.19167400e+00 -1.15225850e+01 5.00000000e-02
80 -2.40186300e+00 -1.15841160e+01 5.00000000e-02
81 -3.71443400e+00 -1.20012080e+01 5.00000000e-02
82 -5.16046100e+00 -1.28341080e+01 5.00000000e-02
83 -6.61680600e+00 -1.40991310e+01 4.02589291e-02
84 -7.80494300e+00 -1.55410660e+01 2.76218558e-02
85 -8.62667400e+00 -1.68921900e+01 1.88818916e-02
86 -9.14774700e+00 -1.79924230e+01 1.33397380e-02
87 -9.46174900e+00 -1.92372150e+01 1.00000000e-02
88 -1.07694413e+01 -1.92372150e+01 6.63846154e-01
89 -1.20771336e+01 -1.92372150e+01 1.31769231e+00
90 -1.33848259e+01 -1.92372150e+01 1.97153846e+00
91 -1.46925182e+01 -1.92372150e+01 2.62538462e+00
92 -1.60002105e+01 -1.92372150e+01 3.27923077e+00
93 -1.73079028e+01 -1.92372150e+01 3.93307692e+00
94 -1.86155952e+01 -1.92372150e+01 4.58692308e+00
95 -1.99232875e+01 -1.92372150e+01 5.24076923e+00
96 -2.12309798e+01 -1.92372150e+01 5.89461538e+00
97 -2.25386721e+01 -1.92372150e+01 6.54846154e+00
98 -2.38463644e+01 -1.92372150e+01 7.20230769e+00
99 -2.51540567e+01 -1.92372150e+01 7.85615385e+00
100 -2.64617490e+01 -1.92372150e+01 8.51000000e+00
101 -2.64617490e+01 -1.79515007e+01 8.53427506e+00
102 -2.64617490e+01 -1.66657864e+01 8.60668897e+00
103 -2.64617490e+01 -1.53800721e+01 8.72604198e+00
104 -2.64617490e+01 -1.40943579e+01 8.88292769e+00
105 -2.64617490e+01 -1.28086436e+01 9.05001825e+00
106 -2.64617490e+01 -1.15229293e+01 9.25494423e+00
107 -2.64617490e+01 -1.02372150e+01 9.49909111e+00
108 -2.64617490e+01 -8.95150071e+00 9.28994584e+00
109 -2.64617490e+01 -7.66578643e+00 9.06046349e+00
110 -2.64617490e+01 -6.38007214e+00 8.87177240e+00
111 -2.64617490e+01 -5.09435786e+00 8.72530409e+00
112 -2.64617490e+01 -3.80864357e+00 8.60668897e+00
113 -2.64617490e+01 -2.52292929e+00 8.53427506e+00
114 1.04805587e+01 -3.06074931e+01 6.44724503e-01
115 1.17882510e+01 -3.06074931e+01 1.27893202e+00
116 1.30959433e+01 -3.06074931e+01 1.91735399e+00
117 1.44036356e+01 -3.06074931e+01 2.56340123e+00
118 1.57113279e+01 -3.06074931e+01 3.21261550e+00
119 1.70190202e+01 -3.06074931e+01 3.86339640e+00
120 1.83267125e+01 -3.06074931e+01 4.51506506e+00
121 1.96344048e+01 -3.06074931e+01 5.16728496e+00
122 2.09420972e+01 -3.06074931e+01 5.81987045e+00
123 2.22497895e+01 -3.06074931e+01 6.47271079e+00
124 2.35574818e+01 -3.06074931e+01 7.12573584e+00
125 2.48651741e+01 -3.06074931e+01 7.77889901e+00
126 2.61728664e+01 -3.06074931e+01 8.43216817e+00
127 9.82671254e+00 -2.94749984e+01 4.65388517e-01
128 1.11344048e+01 -2.94749984e+01 1.09959603e+00
129 1.24420972e+01 -2.94749984e+01 1.73380355e+00
130 1.37497895e+01 -2.94749984e+01 2.36801106e+00
131 1.50574818e+01 -2.94749984e+01 3.00221858e+00
132 1.63651741e+01 -2.94749984e+01 3.63642610e+00
133 1.76728664e+01 -2.94749984e+01 4.27270551e+00
134 1.89805587e+01 -2.94749984e+01 4.91358240e+00
135 2.02882510e+01 -2.94749984e+01 5.55748701e+00
136 2.15959433e+01 -2.94749984e+01 6.20347507e+00
137 2.29036356e+01 -2.94749984e+01 6.85095639e+00
138 2.42113279e+01 -2.94749984e+01 7.49954370e+00
139 2.55190202e+01 -2.94749984e+01 8.14897260e+00
140 9.17286638e+00 -2.83425036e+01 2.86052531e-01
141 1.04805587e+01 -2.83425036e+01 9.20260047e-01
142 1.17882510e+01 -2.83425036e+01 1.55446756e+00
143 1.30959433e+01 -2.83425036e+01 2.18867508e+00
144 1.44036356e+01 -2.83425036e+01 2.82288259e+00
145 1.57113279e+01 -2.83425036e+01 3.45709011e+00
146 1.70190202e+01 -2.83425036e+01 4.09129763e+00
147 1.83267125e+01 -2.83425036e+01 4.72550514e+00
148 1.96344048e+01 -2.83425036e+01 5.35971266e+00
149 2.09420972e+01 -2.83425036e+01 5.99392017e+00
150 2.22497895e+01 -2.83425036e+01 6.62956961e+00
151 2.35574818e+01 -2.83425036e+01 7.26849623e+00
152 2.48651741e+01 -2.83425036e+01 7.90986473e+00
153 2.61728664e+01 -2.83425036e+01 8.55312517e+00
154 8.51902023e+00 -2.72100089e+01 1.19658692e-01
155 9.82671254e+00 -2.72100089e+01 7.45873629e-01
156 1.11344048e+01 -2.72100089e+01 1.37513158e+00
157 1.24420972e+01 -2.72100089e+01 2.00933909e+00
